-a,Finaĵo (lingvoscience: sufikso) markanta la vorton kiel adjektivon:
Abrahamo,"Prapatro de Izraelo: Dio provis on, kaj diris al li: [...] prenu vian filon, vian solan, kiun vi amas, Isaakon, kaj iru en la landon Morija, kaj oferu lin tie kiel bruloferon sur unu el la montoj MT, Genezo 22:2."
abrakadabro,"Galimatia sorĉvorto: Emèric ridete respondis per voĉo duoble diabla: Ne mateno, bone tamen! a! Jorge Camacho: La Majstro kaj Martinelli. Budapeŝto, 1993. Ĉap. 7a. ; La tuta skipo evidente ĵus superpreĝis pri tio, ke iu povrulo hazarde venu al ĝi por mirakla kuracado. Kaj e -- jen kuracoto alvenis PEJNO Simono: La profeta kurso. Monato ; Kaj ‐ abrakadabro! ‐ mi malkovris, ke z aperas komenclitere plej malofte PEJNO Simono: Substituaj alfabetoj. ."
Abrakso,"Diaĵo en persa mitologio kaj gnostikismo: la nova amiko […] klerigas lin [pri] la diaĵo o, kiu estas ne nur bona, sed ankaŭ malbona Akvarele nebula beleco, recenzo pri Demian ; mi kun mia saĝa amiko o (korvo nomita laŭ la diaĵo) surprizas la grandajn sorĉistinojn La malgranda sorĉistino, recenzo ."
abrazii,"Frot-eluzi, skrap-eluzi: ni iru, ni iru! — li rediris kun malklara voĉo kaj piednuda ekmarŝis laŭ la ita ŝtonaro E. Kumičić, trad. S. Rukelj, Surprizitaj nuptofestantoj, inko, 2001 ."
abrazio,"Eluzado, deprenado de surfacaj eroj per ripetaj frotoj, skrapoj, batetoj: en teĥniko o estas ankaŭ ofte uzata en farado de diversaj aparatoj kaj iliaj detaloj por doni al ili necesan formon Viki, Abrazio, 2012-10-20 ."
abrikoto,"Flavoranĝa bongusta frukto de ujo, drupo: rozaj persikoj, flavaj oj, verdaj renklodoj IK ; malsanulejen ŝi iris, manĝinte plurajn kernojn de o kaj persiko, aŭ pli precize ilian enan molan parton, same toksan por homo Monato Roberto Pigro Amanda saporo, semo ne amenda ."
"abrikotujo, abrikotarbo","Specio de prunuso (Prunus armeniaca), kulturata pro la bongustaj flavaj fruktoj."
abrotano,"Specio de artemizio (Artemisia abrotanum) havanta odoron de citrona ŝelo: o estas arbusto alta 1 m [havanta] duoble pinatajn, citronŝel-odorajn foliojn, kiujn oni iam uzis kiel spicaĵo, kaj el kiuj elĉerpata esenco [protektas] kontraŭ kuloj Viki Abrotano ."
abrupta,"Subita, senprepara, akre surpriza: tuj post la trapaso de arbaro sekvas a pejzaĝ-ŝanĝo, kvazaŭ oni trafus en alian kontinenton Monato Hose Marques Argentino: Vojaĝo al la provinco Tukumano ; la ruĝa koloro ĉe ŝiaj lipoj finiĝas per a linio laŭ la interna rando StU Al Romo ; la sensacia disvastiĝo kaj a pereo de Volapük EeP Kvina Parto ; a malaltiĝo de la kvalita nivelo KFl I. Enkonduko ; aj malsupreniĝoj al basa gamo Monato Sen Rodin (Filippo Franceschi) Tri diskoj kun ses paroladoj de Ivo Lapenna 2007 ; nenio akra en ŝi, nenio iam ajn a, nur tiu agrabla, glata harmonieco de la voĉo, de la movoj ChV 2 ; la turno estas tiel a, ke Karlo ektremas, ĉar la radoj kontuziĝas al la trotuarrando, ĉe kiu li sidas LGA II. ."
abrupte,"En a maniero, subite: ne pensu malbone pri ni pro tio, ke ni tiel e forlasas vin InfanTorent2 Dua Parto ; hontu! li diris e InfanTorent2 Dua Parto ; [li] e silentiĝis, frapita de la aspekto de Johano InfanTorent2 Dua Parto ."
